游戏名称,价格,好评率,好评人数,平均游玩时长,标签,所属主类
Laraan,¥ 21.00,65%,23,4.8h,"动作, 冒险, 独立, 探索",动作类; 冒险类
Nightork Adventures - Beyond the Moons of Shadalee,免费开玩,54%,82,4.8h,"动作, 模拟, 街机, 射击, 第三人称射击, 彩色, 体素, 程序生成, 太空, 恶魔, 科幻, 未来, 关卡编辑, 独立, 免费开玩, 3D, 第三人称, 单人, 弹幕射击, 战斗",动作类; 射击类; 模拟类
Jonah's Path,免费开玩,69%,76,8.5h,"免费开玩, 独立, 虚拟现实",
#Archery,¥ 36.00,64%,25,3.8h,"射箭, 体育, 独立, 虚拟现实",体育类
Rivais Em Batalha,¥ 3.00,74%,54,13.3h,"动作, 独立, 第三人称射击, 多人, 射击, 抢先体验",动作类; 射击类
Marvel vs. Capcom: Infinite,¥ 198.00,67%,"2,388",14.3h,"格斗, 动作, 超级英雄, 2D 格斗, 多人, 街机, 漫画, 竞技, 劫掠, 单人, 动漫, 本地多人, 网络梗, 开放世界, 2.5D",动作类; 冒险类
Green Ranch,¥ 6.00,60%,23,6.7h,"休闲, 时间管理",休闲类
Anthelion,¥ 100.00,8 篇用户评测,8,3.5h,动作,动作类
NeverMine,¥ 100.00,1 篇用户评测,1,2.1h,动作,动作类
Splash Bash,¥ 100.00,3 篇用户评测,3,1.5h,独立,
Dungeons 3,¥ 149.00,93%,"12,579",15.2h,"策略, 恶人主角, 基地建设, 模拟, 即时战略, 上帝模拟, 管理, 女性主角, 喜剧, 多人, 欢乐, 经济, 单人, 黑暗奇幻, 黑色幽默, 在线合作, 合作战役, 恐怖, 即时战术, 等角视角",冒险类; 模拟类; 策略类
PuppetsVR,¥ 21.00,6 篇用户评测,6,2.8h,"独立, 休闲, 模拟, 抢先体验, 虚拟现实",模拟类; 休闲类
Road to your City,¥ 37.00,62%,69,4.7h,"模拟, 独立, 休闲, 策略, 体育, 城市营造, 沙盒, 管理, 建造, 抢先体验, 单人, 阖家, 重玩价值, 资源管理, 好评原声音轨",模拟类; 策略类; 体育类; 休闲类
Dungeon Girl,¥ 48.00,58%,29,15.5h,"休闲, 动漫, 解谜, 视觉小说, 可爱, 三消, 角色扮演, 独立, 策略, 冒险",冒险类; 角色扮演类; 策略类; 解谜类; 休闲类
RX squad,¥ 30.00,72%,43,7.1h,"独立, 动作, 冒险, 休闲",动作类; 冒险类; 休闲类
ENIGMA:,¥ 58.00,96%,101,12.0h,"冒险, 独立, 视觉小说, 动漫, 好评原声音轨, 悬疑, 可爱, LGBTQ+, 剧情丰富",冒险类
The Thrill of the Fight - VR Boxing,¥ 42.00,95%,"3,951",4.1h,"虚拟现实, 体育, 动作, 3D 格斗, 拳击, 格斗, 多人, 单人",动作类; 体育类
Blight of the Immortals,免费开玩,69%,71,15.3h,"策略, 矮人, 合作, 多人, 卡牌游戏, 集换式卡牌游戏, 彩色, 异步多人, 困难, 僵尸, 免费开玩",策略类
Miniature Garden,¥ 76.00,80%,73,44.2h,"视觉小说, 独立, 休闲, 冒险, 动漫, 悬疑, 恐怖",冒险类; 休闲类
Pengame,¥ 0.00,,,,"射击, 剧情丰富, 动作, 子弹时间, 单人, 手绘, 2D, 竞分, 免费开玩, 冒险, 独立",动作类; 射击类; 冒险类
Heart's Medicine - Time to Heal,¥ 76.00,93%,804,9.4h,"休闲, 医疗模拟, 独立, 模拟, 时间管理, 冒险, 女性主角, 单人, 剧情丰富, 2D",冒险类; 模拟类; 休闲类
BeeBeeQ,¥ 0.00,,,,"动作, 独立, 虚拟现实",动作类
MiDZone,¥ 15.00,54%,11,5.1h,"动作, 独立, 单人, 第一人称射击, 第一人称, 多人",动作类; 射击类
未获取到,未获取到价格,,,6.0h,,
Unbreakable Vr Runner,¥ 18.00,97%,44,1.0h,"虚拟现实, 奔跑, 快节奏, 街机, 永久死亡, 平台游戏, 单人, 体育, 独立, 欢乐, 跑酷, 第一人称, 3D, 动作, 冒险, 恐怖, 抢先体验",动作类; 冒险类; 体育类
Bowl VR,¥ 28.00,35%,17,0.8h,"体育, 休闲, 模拟, 虚拟现实",模拟类; 体育类; 休闲类
VR Boxing Workout,¥ 21.00,27%,11,1.3h,"模拟, 体育, 虚拟现实",模拟类; 体育类
Barrow Hill: Curse of the Ancient Circle,¥ 33.00,85%,174,5.8h,"冒险, 独立, 指向点击, 恐怖, 第一人称",冒险类; 解谜类
Praey for the Gods,¥ 10.50,82%,"2,432",6.1h,"冒险, 3D 平台, 动作冒险, 女性主角, 动作, 平台解谜, 探索, 电影式, 第三人称, 开放世界, 神话, 黑暗奇幻, 氛围, 生存, 奇幻, 控制器, 故事架构丰富, 独立, 单人, 原声音轨",动作类; 冒险类
My Butler,¥ 36.00,54%,87,5.0h,"冒险, 少女游戏, 视觉小说, 动漫, 女性主角",冒险类
Dangerous Relationship,¥ 52.00,50%,83,5.3h,"冒险, 女性主角, 少女游戏, 视觉小说, 动漫, 恋爱模拟",冒险类
Office lovers,¥ 52.00,48%,119,5.8h,"冒险, 视觉小说, 少女游戏",冒险类
坦克大战,免费开玩,40%,54,23.1h,"休闲, 动作, 模拟, 策略, 多人在线战术竞技, 射击, 战争游戏, 第三人称射击, 3D, 第三人称, 二战, 战争, 战术, 玩家对战, 合作, 免费开玩, 在线合作, 多人",动作类; 射击类; 模拟类; 策略类; 休闲类
Orc Hunter VR,免费开玩,44%,25,9.9h,"动作, 冒险, 独立, 虚拟现实",动作类; 冒险类
STANDBY,LABEL,73%,97,4.9h,"独立, 动作, 冒险, 平台游戏, 困难, 2D, 单人, 好评原声音轨, 街机, 竞速, 横向滚屏, 休闲, 彩色, 音乐, 节奏, 多人, 策略, 阖家, 欢乐, 角色自定义",动作类; 冒险类; 策略类; 竞速类; 休闲类
EARTH'S DAWN,¥ 18.00,73%,197,8.3h,"动作, 独立, 横向滚屏, 2D, 清版动作, 动漫, 砍杀, 单人",动作类
TransRoad: USA,¥ 76.00,52%,343,9.2h,"模拟, 汽车模拟, 管理, 策略, 休闲",模拟类; 策略类; 竞速类; 休闲类
Eliosi's Hunt,¥ 42.00,68%,61,4.7h,"动作, 冒险, 独立, 俯视射击, 平台游戏, 单人, 双摇杆射击, 科幻, 困难, 射击, 3D 平台, 俯视, 控制器",动作类; 射击类; 冒险类
未获取到,未获取到价格,,,3.4h,,
Morphblade,¥ 21.00,93%,262,2.5h,"休闲, 独立, 策略, 回合制, 六角格棋盘, 解谜, 单人, 俯视, 回合战略, 2D, 回合制战术, 游戏制作, 轻度 Rogue",策略类; 解谜类; 休闲类
Galacticare,¥ 122.00,86%,567,9.9h,"剧情丰富, 休闲, 医疗模拟, 疫病爆发模拟, 即时战略, 时间管理, 建造, 资本主义, 经济, 管理, 基地建设, 策略, 选择取向, 3D, 放松, 黑色幽默, 工作模拟, 欢乐, 模拟, 外星人",模拟类; 策略类; 休闲类
MageWorks,¥ 42.00,53%,13,1.0h,"虚拟现实, 动作, 冒险, 魔法, 中世纪, 战斗, 探索, 制作, 奇幻, 迷宫探索, 动作冒险, 玩家对战环境, 动作角色扮演, 类 Rogue, 角色扮演, 独立, 第一人称, 单人, 抢先体验, 风格化",动作类; 冒险类; 角色扮演类
Captain Curve's Intergalactic Space Adventure,¥ 100.00,2 篇用户评测,2,0.7h,独立,
Acid Flip,¥ 18.00,无用户评测,,3.7h,"动作, 独立, 休闲, 冒险, 抢先体验, 单人",动作类; 冒险类; 休闲类
VR: Vacate the Room (Virtual Reality Escape),¥ 18.00,84%,241,2.6h,"冒险, 虚拟现实, 密室逃脱, 独立, 解谜, 哲理, 恐怖, 单人, 短篇",冒险类; 解谜类
UBOAT,¥ 108.00,84%,"24,160",26.4h,"模拟, 二战, 潜水艇, 海战, 军事, 海军, 战争, 单人, 开放世界, 拟真, 历史, 动作, 管理, 可模组化, 射击, 物理, 重玩价值, 沙盒, 即时战略, 生存",动作类; 射击类; 冒险类; 模拟类; 策略类
VeeR Pong,¥ 22.00,3 篇用户评测,3,0.9h,"体育, 休闲, 模拟, 虚拟现实",模拟类; 体育类; 休闲类
ViveSpray,¥ 18.00,66%,71,1.3h,"模拟, 独立, 休闲, 虚拟现实",模拟类; 休闲类
Twisted Arrow,¥ 50.00,89%,83,1.6h,"动作, 冒险, 虚拟现实, 第一人称射击, 动作冒险, 射箭",动作类; 射击类; 冒险类
Savana,¥ 100.00,8 篇用户评测,8,1.0h,"独立, 休闲, 指向点击",解谜类; 休闲类
Wondership Q,¥ 36.00,50%,16,2.6h,"冒险, 角色扮演, 独立, 动作, 动漫",动作类; 冒险类; 角色扮演类
Too Angry to Space,¥ 21.00,66%,54,5.1h,"动作, 独立, 休闲, 平台游戏, 横向滚屏, 2D, 科幻, 像素图形, 复古, 单人, 射击, 太空, 街机, 机器人, 困难, 超级英雄, 卡通, 风格化, 外星人, 放松",动作类; 射击类; 休闲类
Ranger of the jungle,¥ 14.00,30%,20,4.0h,"策略, 独立, 休闲, 塔防",策略类; 休闲类
Mega Man Legacy Collection 2,¥ 220.00,85%,"1,482",11.8h,"动作, 平台游戏, 经典, 复古, 好评原声音轨, 2D, 单人, 像素图形, 困难, 横向滚屏, 动漫, 90 年代, 射击, 机器人, 科幻, 重制, 2D 平台, 彩色",动作类; 射击类
VR Battle Grid,免费,89%,69,11.2h,"免费开玩, 独立, 动作, 休闲, 模拟, 策略, 虚拟现实",动作类; 模拟类; 策略类; 休闲类
Enigmatis 3: The Shadow of Karkhala,¥ 58.00,93%,774,5.6h,"隐藏物体, 休闲, 冒险, 指向点击, 解谜, 悬疑, 女性主角, 推理, 好评原声音轨, 单人, 2D, 奇幻, 独立, 阖家, 氛围, 剧情丰富",冒险类; 解谜类; 休闲类
Evolution Planet: Gold Edition,¥ 21.00,77%,35,3.7h,"休闲, 解谜, 三消",解谜类; 休闲类
NARUTO: Ultimate Ninja STORM,¥ 108.00,76%,"5,823",13.0h,"动作, 冒险, 动漫, 格斗, 开放世界, 多人, 单人, 忍者, 剧情丰富, 3D 格斗",动作类; 冒险类
DATH,¥ 25.00,5 篇用户评测,5,6.2h,"动作, 独立, 角色扮演, 像素图形, 横向滚屏, 平台游戏, 砍杀, 2D 平台, 2D, 黑暗, 单人, 抢先体验",动作类; 角色扮演类
Hypnorain,¥ 22.00,72%,11,3.8h,"弹幕射击, 动漫, 动作, 独立, 复古, 单人, 困难, 清版射击, 射击, 街机, 2D, 彩色, 可爱, 迷幻, 魔法, 老式, 超现实, 战斗, 飞行, 线性",动作类; 射击类
AccuRC 2,¥ 168.00,86%,426,59.5h,"模拟, 竞速, 体育, 飞行",模拟类; 体育类; 竞速类
TrumPiñata,¥ 6.00,46%,15,65.5h,"模拟, 虚拟现实, 网络梗, 政治, 政治性",模拟类
Ancient VR coaster,¥ 11.00,45%,20,1.5h,"模拟, 冒险, 独立, 休闲, 虚拟现实",冒险类; 模拟类; 休闲类
Disgaea 2 PC,Play demo for free,91%,"1,470",25.5h,"角色扮演, 策略角色扮演, 日系角色扮演, 动漫, 回合制战术, 战术角色扮演, 喜剧, 回合制, 单人, 策略, 像素图形, 欢乐, 好评原声音轨, 回合战略, 暴力, 2D, 可爱, 回合制战斗, 剧情丰富, 战术",射击类; 角色扮演类; 策略类
Woodle Tree 2: Worlds,¥ 22.00,62%,127,4.3h,"冒险, 动作, 大型多人在线, 开放世界, 3D 平台, 可爱, 4 人本地, 合作战役, 在线合作, 单人, 探索, 独立, 第一人称, 氛围",动作类; 冒险类
The Wire Loop Game VR,¥ 22.00,70%,10,1.4h,"休闲, 虚拟现实",休闲类
State of Decay 2: Juggernaut Edition,¥ 99.00,83%,"56,777",34.7h,"生存, 开放世界, 僵尸, 基地建设, 多人, 合作, 在线合作, 后末日, 模拟, 动作, 角色扮演, 沙盒, 第三人称, 单人, 血腥, 恐怖, 永久死亡, 暴力, 重玩价值, 氛围",动作类; 冒险类; 角色扮演类; 模拟类
Ping Pong League,免费开玩,55%,144,13.6h,"体育, 虚拟现实, 免费开玩, 多人",体育类
Baskhead,¥ 21.00,5 篇用户评测,5,2.4h,"休闲, 体育, 动作, 虚拟现实",动作类; 体育类; 休闲类
Dashy Square VR,¥ 3.19,6 篇用户评测,6,5.5h,"动作, 虚拟现实, 平台游戏, 类银河战士恶魔城, 精确平台, 轻度 Rogue, 像素图形, 架空历史, 政治, 物理, 单人, 街机, 音乐, 节奏, 独立",动作类
Divided We Fall: Play For Free,免费开玩,55%,252,14.2h,"策略, 动作, 独立, 即时战略, 二战, 免费开玩, 战争游戏, 多人, 战争, 大型多人在线",动作类; 策略类
Farm Manager 2018,¥ 76.00,70%,"2,517",12.8h,"农场模拟, 独立, 管理, 休闲, 农业, 建造, 资源管理, 经济, 农场管理, 模拟, 单人, 策略, 沙盒, 城市营造, 放松, 拟真, 氛围, 阖家, 库存管理, 等角视角",模拟类; 策略类; 休闲类
未获取到,未获取到价格,,,4.0h,,
Asteroid Fight,免费开玩,67%,31,6.3h,"独立, 策略, 动作, 休闲, 抢先体验, 2D, 科幻, 像素图形, 动作角色扮演, 免费开玩, 即时战略",动作类; 角色扮演类; 策略类; 休闲类
Overdriven Reloaded,¥ 32.00,85%,28,3.6h,"独立, 动作, 清版射击, 弹幕射击, 街机, 4 人本地, 科幻, 本地合作, 2D, 复古, 射击, 90 年代, 太空, 外星人, 未来, 机器人, 控制器, 单人, 本地多人, 快节奏",动作类; 射击类
Intrude,¥ 18.00,83%,195,3.2h,"动作, 独立, 第一人称射击, 射击, 复古, 像素图形, 复古射击",动作类; 射击类
Ghost Train VR,¥ 11.00,6 篇用户评测,6,4.1h,"休闲, 独立, 虚拟现实",休闲类
Reckpunk,免费,78%,33,16.0h,"独立, 动作, 免费开玩",动作类
Deios II // DEIDIA,¥ 29.00,83%,18,1.1h,"冒险, 独立, 试验性, 探索, 挂机游戏",冒险类; 休闲类
Hexoscope,¥ 15.00,81%,54,4.7h,"休闲, 独立, 解谜",解谜类; 休闲类
Lil Tanks,¥ 22.00,90%,10,3.6h,"动作, 独立, 清版射击, 坦克, 像素图形, 复古, 单人, 街机, 本地合作, 外星人, 战争, Kickstarter, 未来, 好评原声音轨, 射击, 科幻, 军事, 休闲, 战争游戏, 竞分",动作类; 射击类; 休闲类
Endless Labyrinth,¥ 6.00,75%,20,5.8h,"休闲, 虚拟现实",休闲类
Montaro,¥ 6.00,95%,"10,651",8.4h,"网络梗, 可爱, 动漫, 休闲, 独立, 像素图形, 狗, 奔跑, 2D, 平台游戏, 好评原声音轨, 欢乐, 单人, 横向滚屏, 喜剧, 步行模拟, 氛围, 动作, 复古, 剧情丰富",动作类; 冒险类; 休闲类
未获取到,未获取到价格,,,74.2h,,
The Secret Monster Society,¥ 19.95,59%,27,4.7h,"冒险, 休闲, 独立, 指向点击, 单人, 阖家, 欢乐, 喜剧, 奇幻, 剧情丰富, 卡通风格, 僵尸, 模拟, 放松, 角色扮演, 解谜, 好评原声音轨, 风格化, 卡通, 隐藏物体",冒险类; 角色扮演类; 模拟类; 解谜类; 休闲类
Lance A Lot: Classic Edition,¥ 22.00,83%,56,2.1h,"独立, 动作, 休闲, 4 人本地, 本地多人",动作类; 休闲类
Selma and the Wisp,¥ 36.00,63%,112,1.5h,"独立, 冒险, 休闲, 动作, 平台游戏, 平台解谜, 解谜, 恐怖, 单人, 短篇, 黑暗, 悬疑, 反乌托邦, 心理恐怖, 剧情丰富, 好评原声音轨, 氛围, 2.5D, 设计与插画, 女性主角",动作类; 冒险类; 解谜类; 休闲类
真恋～寄语枫秋～,¥ 49.00,84%,"1,319",43.6h,"视觉小说, 恋爱模拟, 独立, 休闲, 冒险, 动漫, 剧情丰富",冒险类; 休闲类
BowMage,¥ 36.00,7 篇用户评测,7,0.5h,"冒险, 独立, 休闲, 模拟, 动作, 虚拟现实",动作类; 冒险类; 模拟类; 休闲类
Geo-Fall,¥ 6.00,1 篇用户评测,1,3.5h,"动作, 抢先体验, 虚拟现实, 快节奏, 篮球",动作类; 体育类
Shaq Fu: A Legend Reborn,¥ 89.00,77%,111,3.9h,"动作, 独立, 清版动作, 网络梗, 喜剧",动作类
Dark Parables: The Swan Princess and The Dire Tree Collector's Edition,¥ 38.00,73%,38,5.2h,"冒险, 休闲, 隐藏物体",冒险类; 解谜类; 休闲类
"Space, VR!",¥ 11.00,5 篇用户评测,5,1.0h,"独立, 虚拟现实, 太空",
LaserCat,¥ 6.00,90%,75,4.0h,"独立, 冒险, 休闲, 平台游戏, 猫, 像素图形",动作类; 冒险类; 休闲类
Desert Race Adventures,¥ 26.00,9 篇用户评测,9,0.5h,"策略, 类 Rogue, 驾驶, 复古, 挂机游戏, 像素图形, 资源管理, 单人, 体育, 汽车模拟, 动作冒险, 选择取向, 2D, 休闲, 彩色, 管理, 竞分, 氛围, 冒险, 90 年代",冒险类; 策略类; 体育类; 竞速类; 休闲类
Return Zero VR,¥ 25.00,,,40.7h,"竞速, 动作, 虚拟现实",动作类; 竞速类
GE Neuro,¥ 0.00,73%,49,15.0h,"休闲, 模拟, 虚拟现实",模拟类; 休闲类
Senza Peso,免费开玩,93%,314,4.3h,"休闲, 冒险, 虚拟现实",冒险类; 休闲类
Watching Grass Grow In VR - The Game,¥ 22.00,50%,10,1.0h,"动作, 独立, 欢乐, 喜剧, 虚拟现实, 街机",动作类
Onward,¥ 78.00,69%,"8,609",12.2h,"虚拟现实, 射击, 第一人称射击, 军事, 拟真, 多人, 模拟, 动作, 暴力, 独立, 战术, 战争, 第一人称, 单人, 抢先体验, 在线合作, 玩家对战, 电竞, 现代, 职业导向",动作类; 射击类; 模拟类
Paddle Up,¥ 36.00,85%,228,3.6h,"体育, 虚拟现实, 独立, 抢先体验",体育类
Corona Blossom-日冕之华- vol.1  来自银河的礼物,¥ 45.00,95%,264,36.2h,"视觉小说, 动漫, 休闲, 可爱, 冒险, 单人, 裸露, 成人, 恋爱模拟, 色情内容, 爱情, 科幻, 喜剧, 情感, 欢乐, 机甲, 机器人, 剧情丰富, 太空, 外国",冒险类; 休闲类
Deep Dark Dungeon,¥ 36.00,59%,37,2.5h,"角色扮演, 动作, 独立, 动作类 Rogue, 砍杀, 轻度 Rogue, 本地合作, 控制器, 4 人本地, 动作角色扮演, 奇幻, 合作, 类 Rogue, 众筹, 本地多人, 困难, 黑暗, 俯视, 永久死亡, 体素",动作类; 角色扮演类
Kingdom: New Lands,¥ 58.00,86%,"9,965",9.0h,"塔防, 基地建设, 生存, 极简主义, 探索, 轻度 Rogue, 类 Rogue, 建造, 策略, 殖民模拟, 氛围, 横向滚屏, 单人, 原声音轨, 像素图形, 冒险, 奇幻, 中世纪, 开放世界, 模拟",冒险类; 模拟类; 策略类
Momento Temporis: Light from the Deep,¥ 21.00,60%,20,1.4h,"冒险, 独立, 动作, 平台游戏, 类银河战士恶魔城, 2D, 抢先体验, 困难, 像素图形, 黑暗奇幻, 复古, 开放世界",动作类; 冒险类
Running Gods,¥ 21.00,7 篇用户评测,7,4.3h,"休闲, 独立, 动作, 冒险",动作类; 冒险类; 休闲类
RC Racing Off Road 2.0,¥ 42.00,4 篇用户评测,4,0.9h,"模拟, 竞速, 体育",模拟类; 体育类; 竞速类
Supipara - Chapter 1 Spring Has Come!,¥ 16.80,98%,238,46.1h,"冒险, 动漫, 视觉小说, 可爱",冒险类
Fighting Fantasy Legends,¥ 10.15,67%,134,5.2h,"角色扮演, 冒险, 独立, 卡牌游戏, 奇幻",冒险类; 角色扮演类; 策略类
A Verdant Hue,¥ 100.00,5 篇用户评测,5,0.7h,"模拟, 独立, 休闲, 策略, 氛围, 农场模拟",模拟类; 策略类; 休闲类
Shiny,¥ 42.00,73%,30,4.6h,"动作, 独立, 太空, 平台游戏, 科幻, 阖家, 横向滚屏, 好评原声音轨",动作类
Renoir,¥ 42.00,54%,77,7.2h,"冒险, 独立, 黑色, 平台解谜, 平台游戏, 解谜, 推理",动作类; 冒险类; 解谜类
Life is Feudal: Forest Village,¥ 78.00,65%,"5,199",21.9h,"城市营造, 殖民模拟, 策略, 资源管理, 中世纪, 模拟, 生存, 建造, 开放世界, 单人, 沙盒, 独立, 制作, 多人, 管理, 抢先体验, 基地建设, 合作, 第一人称",冒险类; 模拟类; 策略类
Typing with Jester,¥ 26.00,75%,24,4.0h,"独立, 抢先体验, 打字, 街机, 奔跑",动作类
Pigmentone,¥ 11.00,62%,24,4.8h,"策略, 独立, 休闲, 解谜, 好评原声音轨, 街机, 2D, 科幻, 欢乐, 氛围, 单人, 风格化, 经典",动作类; 策略类; 解谜类; 休闲类
Noob Squad,¥ 6.00,42%,383,8.2h,"动作, 休闲, 独立, 多人, 血腥, 第一人称射击, 大型多人在线, 暴力, 第一人称, 射击, 网络梗, 本地多人, 重玩价值, 氛围, 欢乐, 谐仿, 喜剧, 裸露, 即时, 单人",动作类; 射击类; 休闲类
Locus Solus,¥ 0.00,,,,"大型多人在线, 独立, 角色扮演, 动作, 大型多人在线角色扮演, 开放世界, 动作角色扮演",动作类; 冒险类; 角色扮演类
Zone of Lacryma,¥ 36.00,81%,27,3.9h,"清版射击, 像素图形, 女性主角, 剧情丰富, 反乌托邦, 弹幕射击, 射击, 单人, 街机, 未来, 后末日, 科幻, 太空, 角色自定义, 2D, 动作, 独立, 复古, 抢先体验, 俯视",动作类; 射击类
Crystal Cosmos,¥ 21.00,9 篇用户评测,9,4.3h,"独立, 休闲, 动作, 冒险, 清版射击, 街机, 射击, 2D, 太空, 复古, 单人, 灵异, 风格化, 欢乐, 氛围, 黑暗, 科幻, 生存, 策略, 战争",动作类; 射击类; 冒险类; 策略类; 休闲类
未获取到,未获取到价格,,,7.8h,,
Push The Crate: Remastered Edition,¥ 11.00,9 篇用户评测,9,2.0h,"休闲, 独立, 解谜, 困难, 俯视, 第一人称",解谜类; 休闲类
Strange Night,¥ 3.00,58%,332,11.9h,"独立, 恐怖, 心理恐怖, 第一人称, 单人, 黑暗",冒险类
Empty Horizons,¥ 15.00,88%,80,5.7h,"独立, 视觉小说, 女性主角, 少女游戏, 动漫, 裸露, 休闲, 2D, 电影式, 爱情, 剧情, 情感, 线性, 剧情丰富, 多结局, 基于文字, 单人, 模拟, 策略, LGBTQ+",冒险类; 模拟类; 策略类; 休闲类
Antihorror,¥ 11.00,71%,209,4.2h,"动作, 独立, 恐怖, 喜剧, 欢乐, 步行模拟, 第一人称, 心理恐怖, 单人, 冒险, 解谜, 动作冒险, 探索, 隐藏物体, 氛围, 外星人, 黑色喜剧, 黑色幽默, 剧情丰富, 全动态影像",动作类; 冒险类; 解谜类
Maze Roller,¥ 36.00,7 篇用户评测,7,4.3h,"冒险, 独立, 休闲, 虚拟现实, 阖家, 解谜",冒险类; 解谜类; 休闲类
Minotaur,¥ 22.00,50%,30,3.4h,"动作, 冒险, 独立, 血腥, 抢先体验, 暴力, 裸露, 砍杀, 黑暗奇幻, 第三人称, 控制器",动作类; 冒险类
SweatShop,¥ 6.00,39%,198,4.1h,"休闲, 独立, 策略, 点击游戏",策略类; 休闲类
Adventures On The Polluted Islands,¥ 15.00,69%,43,4.7h,"独立, 冒险, 休闲",冒险类; 休闲类
Sorcerer King: Rivals,¥ 70.00,65%,255,10.6h,"4X, 战术角色扮演, 大战略, 沙盒, 玩家对战环境, 回合制, 回合战略, 策略角色扮演, 建造, 角色自定义, 角色扮演, 策略, 2D, 3D, 第三人称, 龙, 故事架构丰富, 剧情丰富, 选择取向, 回合制战斗",角色扮演类; 模拟类; 策略类
未获取到,未获取到价格,,,8.5h,,
Discovering Space 2,¥ 36.00,70%,81,1.5h,"休闲, 模拟, 独立, 虚拟现实, 太空",模拟类; 休闲类
Nothin' But Net,¥ 22.00,7 篇用户评测,7,1.4h,"体育, 虚拟现实, 篮球, 独立, 休闲, 模拟",模拟类; 体育类; 休闲类
The Housewife,¥ 11.00,50%,99,4.1h,"独立, 模拟, 女性主角, 抽象, 试验性, 黑暗, 休闲, 短篇, 氛围, 超现实, 好评原声音轨, 心理恐怖, 第一人称",模拟类; 休闲类
Ruction: The Golden Tablet,¥ 36.00,7 篇用户评测,7,5.8h,"冒险, 独立, 抢先体验, 开放世界",冒险类
MegaTagmension Blanc + Neptune VS Zombies (Neptunia),¥ 58.00,88%,"1,169",30.5h,"动漫, 动作, 砍杀, 女性主角, 日系角色扮演, 可爱, 多人, 僵尸, 单人, 欢乐, 角色扮演, 喜剧, 裸露, 合作, 冒险, 动作冒险, 色情内容, 网络梗, 2.5D, 2D",动作类; 冒险类; 角色扮演类
Brick Battalion,¥ 36.00,7 篇用户评测,7,2.2h,"策略, 独立, 休闲",策略类; 休闲类
Replica,¥ 15.00,85%,"2,947",5.1h,"独立, 像素图形, 解谜, 黑客, 冒险, 反乌托邦, 剧情丰富, 政治性, 悬疑, 单人, 选择取向, 心理恐怖, 视觉小说, 恐怖, 短篇, 氛围, 多结局",冒险类; 模拟类; 解谜类
Second Death,¥ 15.00,3 篇用户评测,3,1.7h,"独立, 冒险, 角色扮演",冒险类; 角色扮演类
Sumeru,¥ 18.00,73%,134,4.0h,"独立, 休闲, 冒险, 物理, 解谜, 单人, 2D",冒险类; 解谜类; 休闲类
The Slingshot VR,¥ 11.00,38%,21,1.0h,"动作, 独立, 休闲, 模拟, 虚拟现实",动作类; 模拟类; 休闲类
Shoot Mania VR: Fun Zombies,¥ 15.00,52%,19,3.4h,"动作, 休闲, 独立, 虚拟现实, 阖家, 射击, 僵尸",动作类; 射击类; 休闲类
Cosmic Cavern 3671　　宇宙最大の地底最大の作戦,¥ 21.00,66%,15,3.9h,"动作, 休闲, 独立, 策略, 街机, 像素图形, 经典",动作类; 策略类; 休闲类
Ghost Sweeper,¥ 18.00,82%,23,4.1h,"动作, 冒险, 独立, 休闲, 平台游戏, 平台解谜, 2D, 单人, 街机, 动漫, 欢乐, 好评原声音轨, 像素图形, 复古, 经典, 生存, 氛围, 风格化, 动作冒险, 自选历险体验",动作类; 冒险类; 休闲类
Cross Death  VR,¥ 45.00,6 篇用户评测,6,2.2h,"动作, 冒险, 独立, 策略, 虚拟现实",动作类; 冒险类; 策略类
Mystic Diary - Hidden Object,¥ 6.60,52%,25,4.3h,"冒险, 休闲, 隐藏物体",冒险类; 解谜类; 休闲类
Underground Keeper,¥ 5.50,69%,39,4.0h,"休闲, 独立, 解谜, 第一人称, 程序生成, 短篇, 探索, 氛围, 欢乐, 逻辑, 放松, 物理, 单人, 困难, 街机, 第一人称射击, 平台解谜, 推箱子, 3D, 拟真",动作类; 射击类; 冒险类; 解谜类; 休闲类
Shape Shifter,¥ 11.00,65%,70,4.7h,"独立, 休闲",休闲类
Rise,¥ 11.00,6 篇用户评测,6,1.9h,"独立, 动作",动作类
Amihailu in Dreamland,免费,80%,36,28.5h,"独立, RPG 制作大师, 女性主角, 免费开玩, 像素图形",
Construct: Escape the System,¥ 6.00,78%,91,5.6h,"独立, 动作, 冒险, 第一人称, 抽象, 科幻, 3D 平台, 风格化, 平台游戏, 单人, 赛博朋克, 氛围, 超现实, 平台解谜, 无声主角, 悬疑, 好评原声音轨, 解谜, 原声音轨, 线性",动作类; 冒险类; 解谜类
FootRock,¥ 6.00,75%,70,4.2h,"体育, 休闲, 动作, 冒险, 独立",动作类; 冒险类; 体育类; 休闲类
Wildcard,免费开玩,64%,117,7.1h,"抢先体验, 免费开玩, 快节奏, 动作, 玩家对战, 控制器, 多人, 竞技, 英雄射击, 战术, 多人在线战术竞技, 3D, 战斗, 第三人称, 动作即时战略, 格斗, 策略, 卡牌游戏, 牌组构建, 独立",动作类; 射击类; 策略类
Street Legal Racing: Redline v2.3.1,¥ 29.00,89%,"3,754",15.7h,"汽车模拟, 竞速, 模拟, 驾驶, 建造, 开放世界, 单人, 可模组化, Kickstarter, 破坏, 多人",冒险类; 模拟类; 竞速类
